Name,Ingredients,Making,Link,Base
Appletini,"['1 1/4 ounces vodka', '1 ounce Calvados', '1 1/4 ounces apple juice', '1/4 ounce lemon juice', '1/4 ounce simple syrup', 'brandied cherry', 'Granny Smith apple']","Add crushed ice into a cocktail glass and set aside to chill.
Add the vodka, Calvados, apple juice, lemon juice and simple syrup into a shaker with ice and shake until well-chilled.
Discard the ice from the cocktail glass and double-strain the mixture into the glass.
Garnish with a skewered brandied cherry and 3 Granny Smith apple slices.",https://www.liquor.com/recipes/appletini/,Vodka Cocktails
Cherry Revolution,"['1 1/4 ounces vodka', '2 3/4 ounces orange juice, freshly squeezed', '1/2 ounce Galliano', '1/4 ounce Don Ciccio & Figli Cerasum aperitivo', 'Garnish: orange wheel', 'Garnish: maraschino cherry']","Add all ingredients into a shaker with ice and shake until well-chilled.
Strain into a Collins glass over fresh ice.
Garnish with an orange wheel and a skewered maraschino cherry.",https://www.liquor.com/cherry-revolution-cocktail-recipe-5077541,Vodka Cocktails
Vodka Martini,"['2 1/2 ounces vodka', '1/2 ounce dry vermouth', '1 dash bitters', 'lemon twist']","Add the vodka, dry vermouth and orange bitters into a mixing glass with ice and stir until very well-chilled, about 20 to 30 seconds.
Strain into a chilled cocktail glass.
Garnish with a lemon twist.
Dry Martini: Employs the more traditional gin rather than vodka
Tequila Martini: Switches up the main spirit once more
Dirty Martini: Adds olive brine for a salty touch
Gibson: Swaps in a cocktail onion as the garnish
Reverse Martini: Switches up the vodka and vermouth proportions",https://www.liquor.com/vodka-martini-cocktail-recipe-5076791,Vodka Cocktails
Porn Star Martini,"['1 1/2 ounces vanilla flavored vodka', '1/2 ounce liqueur', '1 ounce passion fruit puree', '1/2 ounce lime juice', '', '2 ounces sparkling wine', 'cup passion fruit']","Add all ingredients except sparkling wine into a shaker with ice and shake vigorously until well-chilled.
Strain into a chilled coupe glass.
Garnish with a passion fruit half.
Serve with a sparkling wine sidecar (on the side).",https://www.liquor.com/porn-star-martini-cocktail-recipe-5076288,Vodka Cocktails
Dark ’n Stormy,"['2 ounces rum', '1/2 ounce lime juice', 'Ginger beer 5 ounces', 'lime wheel']","Add rum and lime juice to a tall glass filled with ice.
Top with the ginger beer.
Garnish with a lime wheel.",https://www.liquor.com/recipes/dark-n-stormy/,N/A
Cuba Libre,"['1 ounce rum', '3 ounces Coca-Cola', 'lime wedge']","Fill a highball glass with ice, then add rum and Coca-Cola.
Garnish with a lime wedge. Squeeze the lime into your drink, if desired.",https://www.liquor.com/recipes/cuba-libre/,N/A
50/50 Martini,"['1 1/2 ounces gin', '1 1/2 ounces dry vermouth', '1 dash bitters', 'lemon twist']","Add the gin, dry vermouth and orange bitters to a mixing glass. Fill with ice and stir until well-chilled.
Strain into a chilled cocktail glass.
Garnish with a lemon twist.",https://www.liquor.com/recipes/5050-martini/,N/A
Mimosa,"['2 ounces orange juice', 'Sparkling wine']","Pour the orange juice into a Champagne flute.
Top with the sparkling wine.",https://www.liquor.com/recipes/mimosa/,N/A
Vodka Tonic,"['2 ounces vodka', 'Tonic water', '1 squeeze lemon', 'lemon peel']","Add the vodka to a Collins glass.
Fill the glass with ice, then top with the tonic water and add an optional squeeze of lemon.
Garnish with a lemon peel.",https://www.liquor.com/recipes/vodka-tonic/,N/A
Cape Codder,"['1 1/2 ounces vodka', 'Cranberry juice', 'lime wedge']","Add the vodka into a highball glass over ice.
Top with cranberry juice and stir briefly to combine.
Squeeze a lime wedge over the glass and drop it into the drink.",https://www.liquor.com/recipes/cape-codder/,N/A
Gin & Tonic,"['2 ounces gin', '4 ounces tonic water', 'lime wheels or other seasonal garnishes you may prefer']","Fill a highball glass with ice, then add the gin.
Top with the tonic water and gently stir.
Garnish with lime wheels or seasonal garnishes",https://www.liquor.com/recipes/gin-and-tonic/,N/A
Cabana Boy,"['1 ounce vodka', '1/2 ounce sherry', '1/2 ounce rhum agricole', '1/2 ounce coconut-lemongrass syrup', '1/2 ounce orange juice', 'orange wheel', 'cherry']","Add the vodka, sherry, rhum agricole, coconut-lemongrass syrup and orange juice into a shaker with ice and shake until well-chilled.
Strain into a highball glass over fresh ice.
Garnish with an orange wheel and brandied cherry.
*Coconut-lemongrass syrup: Blend 15 ounces of coconut water, 15 ounces of coconut cream, 1 7/8 cups of sugar and a chopped lemongrass stalk in a blender. Strain solids. Store syrup in a sealed container in the refrigerator for up to a week.",https://www.liquor.com/recipes/cabana-boy/,N/A
Delete That Text,"['4 blackberries', '1 ounce vodka', '1 ounce gin', '1/2 ounce elderflower liqueur', '3/4 ounce lemon juice', 'rosemary sprig', 'lemon peel']","Muddle the blackberries in a shaker.
Add the vodka, gin, elderflower liqueur and lemon juice, fill with ice, and shake until well-chilled.
Double-strain into a rocks glass over fresh ice.
Garnish with a rosemary sprig and lemon peel.",https://www.liquor.com/recipes/delete-that-text/,N/A
Night Flights,"['1 1/2 ounces Opihr gin', '1 ounce Republic Restoratives Civic vodka', '1/2 ounce Salers gentian aperitif', '1/2 ounce creme de violette', '2 dashes lemon bitters', 'Garnish: brandied cherry', 'Garnish: lemon peel']","Add the gin, vodka, Salers Gentian aperitif, creme de violette and lemon bitters into a mixing glass with ice and stir until well-chilled.
Strain into a chilled cocktail glass.
Garnish with a skewered brandied cherry and half-moon lemon peel.",https://www.liquor.com/recipes/night-flights/,N/A
Blue Hawaii,"['3/4 ounce vodka', '3/4 ounce rum', '1/2 ounce blue curaçao', '3 ounces pineapple juice', '1 ounce sweet and sour mix', 'pineapple wedge', 'cocktail umbrella']","Add vodka, light rum, blue curaçao, pineapple juice and sweet-and-sour mix into a shaker with ice and shake until well-chilled. (Or blend all ingredients with ice in a blender.).
Strain into a Hurricane glass over crushed or pebble ice. (Or pour from blender into glass with no ice.)
Garnish with a pineapple wedge and cocktail umbrella.
*Sweet-and-sour mix: Mix 1 part sugar with 1 part water. Add fresh lime juice to taste.",https://www.liquor.com/recipes/blue-hawaii/,Vodka Cocktails
CBD Spritz,"['1 ounce vodka', '1 ounce Aperol', '2 ounces sparkling wine', '2 ounces Sprig CBD-infused zero-sugar sparkling citrus soda', 'grapefruit slice']","Fill a double rocks glass with ice, then add the vodka and Aperol.
Top with chilled sparkling wine followed by the chilled Sprig CBD-infused soda.
Stir to combine, and garnish with a grapefruit slice.",https://www.liquor.com/recipes/cbd-spritz/,Vodka Cocktails
Tom Yum on a Rock,"['1 lime wedge', 'Red pepper flakes', 'Sea salt', '1 Makrut lime leaf', '1 stalk lemongrass', '1 ounce lime juice', '1 3/4 ounces vodka', '2/3 ounce Cointreau', '2/3 ounce palm sugar syrup', 'lime wheel', 'red chile pepper']","Rub the lime wedge on half of the outer rim of a rocks glass. Add equal parts red pepper flakes and sea salt to a small plate, and dip the glass in the mixture.
Add the makrut lime leaf, lemongrass and lime juice into a shaker and muddle gently.
Add the vodka, Cointreau, palm sugar syrup and ice, and shake until well-chilled.
Double-strain into the prepared glass over fresh ice.
Garnish with a lime wheel and red chile pepper on a bamboo pick.",https://www.liquor.com/recipes/tom-yum-on-a-rock/,Vodka Cocktails
Pho-King Champ,"['2/3 ounce Absolut Elyx vodka', '1/4 ounce Dry Sack 15-year-old oloroso sherry', '1 ounce pho broth*', '1/4 ounce lime juice', '2 drops mineral saline (1 part kosher salt to 9 parts mineral water, such as Crazy Water #4 from Texas)', 'Garnish: cilantro leaf']","Add all ingredients into a shaker with ice and shake until chilled.
Strain into a shot glass.
Garnish with a cilantro leaf.
*Pho broth: Roast 1/2 pound peeled and quartered white onion and 2 ounces peeled and halved ginger root at 350 degrees for 25 minutes. Grind and pan-toast 3/4 teaspoon black cardamom, 3/4 teaspoon green cardamom, 8 star anise pods, one 3-inch stick cassia bark, 1 1/4 tsp black peppercorns and 1 teaspoon allspice. Add ground and toasted spices, roasted onion and ginger to 1 quart boiling no-sodium beef stock. Remove from heat, let infuse for 30 minutes and fine-strain through a chinois followed by a 50 micron superbag. To the strained broth add 1 teaspoon salt, 2 tablespoons sugar, 2 teaspoons fish sauce, 1/3 teaspoon Sriracha, 2 1/2 tablespoon hoisin sauce, 1/3 teaspoon Bragg liquid aminos and stir well. Store in the refrigerator.",https://www.liquor.com/recipes/pho-king-champ/,Vodka Cocktails
Long Island Iced Tea,"['3/4 ounce vodka', '3/4 ounce rum', '3/4 ounce tequila', '3/4 ounce gin', '3/4 ounce triple sec', '3/4 ounce simple syrup', '3/4 ounce lemon juice', 'Cola', 'lemon wedge']","Add the vodka, rum, tequila, gin, triple sec, simple syrup and lemon juice to a Collins glass filled with ice.
Top with a splash of the cola and stir briefly.
Garnish with a lemon wedge.
Serve with a straw.",https://www.liquor.com/recipes/long-island-iced-tea/,Vodka Cocktails
Kamikaze,"['2 ounces vodka', '3/4 ounce orange liqueur', '3/4 ounce lime juice']","Add the vodka, orange liqueur and lime juice to a shaker with ice, and shake thoroughly until well-chilled.
Strain into two shot glasses.",https://www.liquor.com/recipes/kamikaze/,Vodka Cocktails
Cucumber Cleanse,"['2 ounces Absolut vodka', '3/4 ounce fresh cucumber juice', '1/2 ounce fresh lemon juice', '1/4 ounce ginger syrup*', '1/4 ounce honey', '5 drops Crude Bitterless Marriage hibiscus lavender oak bitters', '1 egg white', 'Garnish: ground cayenne']","Add all ingredients into a shaker and dry-shake (without ice) until frothy.
Add ice and shake again until well-chilled.
Strain into a cocktail glass.
Garnish with a sprinkle of ground cayenne.
*Ginger syrup: Bring 1 cup sugar and 1 cup water to boil in small saucepan. Add 4 oz peeled ginger cut into thin rounds (about a 10-inch long piece). Remove from heat and allow to steep for 30 minutes, then strain out solids. Store in refrigerator up to several weeks.",https://www.liquor.com/recipes/cucumber-cleanse/,Vodka Cocktails
Beet Rose,"['2 ounces Ketel One vodka', '1 ounce fresh beet juice', '3/4 ounce fresh lemon juice', '6 mint leaves', 'prosecco, chilled, to top', 'Garnish: mint sprig', 'Garnish: lemon twist']","Add all ingredients except prosecco into a shaker with ice and shake until well-chilled.
Double-strain into a highball glass over fresh ice.
Top with prosecco.
Garnish with a mint sprig and lemon twist.",https://www.liquor.com/recipes/beet-rose/,Vodka Cocktails
Sparkling Watermelon Punch,"['1 mini mini watermelon', '6 mint leaves', '4 ounces vodka', '2 ounces lime juice', '1 ounce simple syrup', 'Sparkling wine', 'lime wheels', 'mint sprig']","Serves 2.
With a large spoon or ice cream scoop, carve out the inside of half a mini watermelon and set aside.
Add the watermelon chunks and mint leaves to a blender and puree until smooth.
Fine-strain the puree into a container, discarding the solids. (Will produce about 1 cup of juice.)
In the carved watermelon half, add cubed ice, vodka, lime juice, simple syrup and 5 ounces of the watermelon-mint juice.
Top with the sparkling wine.
Garnish with lime wheels and a mint sprig.",https://www.liquor.com/recipes/sparkling-watermelon-punch/,Vodka Cocktails
Ancient Mariner,"['1 ounce demerara rum', '1 ounce blackstrap rum', '1/4 ounce allspice dram', '3/4 ounce lime juice, freshly squeezed', '1/2 ounce white grapefruit juice, freshly squeezed', '1/2 ounce simple syrup', 'Garnish: lime wedge', 'Garnish: mint sprig']","Add all ingredients into a shaker with ice and shake until well-chilled.
Strain into a double rocks glass over crushed or pebble ice.
Garnish with a lime wedge and a mint sprig.",https://www.liquor.com/ancient-mariner-cocktail-recipe-6501935,Rum Cocktails
Portobello Rum Punch,"['3/4 ounce Don Q gold rum', '3/4 ounce Wray & Nephew overproof rum (with optional blue food coloring)', '1/4 ounce Worthy Park overproof rum', '1 3/4 ounces guava juice', '3/4 ounce lime juice, freshly squeezed', '3/4 ounce simple syrup', '3 dashes Angostura bitters']","Add all ingredients into a shaker with ice and shake until well-chilled.
Strain into a tiki mug or Collins glass over ice.",https://www.liquor.com/portobello-rum-punch-cocktail-recipe-6499925,Rum Cocktails
Haitian Divorce,"['1 1/2 ounces Barbancourt 8 rum', '3/4 ounce mezcal espadín', '1/2 ounce pedro ximenez sherry (preferably Lustau)', '2 dashes Angostura bitters', 'Garnish: orange twist', 'Garnish: lime twist']","Add all ingredients into a mixing glass with ice and stir until well-chilled.
Strain into a rocks glass over one large ice cube.
Express the oils from an orange twist and a lime twist over the drink, then drop both twists into the glass.",https://www.liquor.com/haitian-divorce-cocktail-recipe-6499854,Rum Cocktails
El Fili Daiquiri,"['Calamansi honey (for rim)', 'Shichimi togarashi (for rim)', '1 1/2 ounces Tanduay Gold Asian rum', '1 1/2 ounces Gina mango nectar', '1/2 ounce lime juice, freshly squeezed', '1/2 barspoon yuzu kosho']","Prepare a coupe glass by dipping half the rim into calamansi honey, then into shichimi togarashi.
Add the remaining ingredients into a shaker with ice and shake until well-chilled.
Strain into the prepared coupe glass.",https://www.liquor.com/el-fili-daiquiri-cocktail-recipe-6386551,Rum Cocktails
Ube Colada,"['2 ounces Don Papa rum', '1 ounce ube halaya (purple yam jam)', '1 ounce coconut water', '3/4 ounce pineapple juice', '1/2 ounce coconut milk', 'Garnish: Whipped coconut cream', 'Garnish: crumbled dehydrated blueberries']","Add all ingredients into a blender with a small scoop of ice.
Blend until smooth.
Pour into a large goblet or hurricane glass.
Top with whipped coconut cream and crumbled dehydrated blueberries.",https://www.liquor.com/ube-colada-cocktail-recipe-6399221,Rum Cocktails
Angostura Colada,"['1 1/2 ounces Angostura bitters', '1/2 ounce overproof rum (preferably Smith & Cross)', '2 ounces pineapple juice', '1 ounce lime juice, freshly squeezed', '1 1/2 ounces cream of coconut (such as Coco Lopez)', 'Garnish: pineapple fronds', 'Garnish: nutmeg, freshly grated']","Add all ingredients into a shaker with ice and shake until well-chilled.
Strain into a large snifter over crushed ice.
Garnish with freshly grated nutmeg and pineapple fronds.",https://www.liquor.com/angostura-colada-cocktail-recipe-6361371,Rum Cocktails
Test Pilot,"['1 1/2 ounces dark Jamaican rum', '3/4 ounce light rum', '1/2 ounce Cointreau', '1/2 ounce lime juice, freshly squeezed', '1/2 ounce falernum', '1 dash Angostura bitters', '6 drops Pernod', 'Garnish: maraschino cherry, speared']","Add all ingredients into a blender with a cup of ice and blend at high speed for 5 seconds, until ice is crushed but not smooth.
Pour into a double rocks glass, adding more crushed ice to fill, if needed.
Garnish with a speared maraschino cherry.",https://www.liquor.com/test-pilot-cocktail-recipe-6361211,Rum Cocktails
Jet Pilot,"['1 ounce overproof Jamaican rum', '3/4 ounce overproof demerara rum (such as Plantation OFTD)', '3/4 ounce gold rum', '1/2 ounce grapefruit juice, freshly squeezed', '3/4 ounce lime juice, freshly squeezed', '1/2 ounce cinnamon syrup', '1/2 ounce falernum', '1 dash absinthe', '1 dash Angostura bitters', 'Garnish: maraschino cherry (and more, if desired)']","Add all ingredients into a blender with a cup of crushed ice and blend on high until combined but not smooth, about 5 seconds.
Pour into a double old fashioned glass.
Garnish as desired.",https://www.liquor.com/jet-pilot-cocktail-recipe-5705288,Rum Cocktails
Queens Park Swizzle,"['8-10 mint leaves', '3/4 ounce simple syrup', '2 ounces demerara rum', '1 ounce lime juice, freshly squeezed', '4 dashes Angostura bitters, divided', 'Garnish: mint sprig']","Add the mint leaves and simple syrup into a Collins glass and gently muddle.
Add the rum, lime juice, and 2 dashes of bitters. Fill the glass nearly full with crushed or pebble ice and swizzle with a swizzle stick or bar spoon until frost forms on the outside of the glass.
Fill the glass with more crushed or pebble ice, mounding slightly above the top of the glass.
Top with 2 dashes bitters.
Garnish with a mint sprig.",https://www.liquor.com/queens-park-swizzle-cocktail-recipe-5649402,Rum Cocktails
Fog Cutter,"['1 1/2 ounces light rum', '1 ounce cognac', '1/2 ounce London Dry gin', '2 ounces lemon juice, freshly squeezed', '1 ounce orange juice, freshly squeezed', '1/2 ounce orgeat', '1/2 ounce oloroso sherry', 'Garnish: mint sprig']","Add all ingredients except the sherry into a shaker with ice and shake until well-chilled.
Strain into a chilled Collins glass filled with crushed ice, adding additional crushed ice if needed.
Float the sherry on top.
Garnish with a mint sprig.",https://www.liquor.com/fog-cutter-cocktail-recipe-5536846,Rum Cocktails
Dirty Banana,"['2 ounces rum', '1 ounce banana liqueur', '1 ounce coffee liqueur', '2 ounces half-and-half (or one ounce heavy cream and one ounce whole milk)', '1 banana', 'Garnish: banana chunk, with peel']","Add all ingredients into a blender with a small (6 ounce) scoop of ice and blend until smooth.
Pour into a Collins glass.
Garnish with a banana chunk.",https://www.liquor.com/dirty-banana-cocktail-recipe-5509276,Rum Cocktails
Kingston Negroni,"['1 ounce Smith & Cross Jamaican rum', '1 ounce Campari', '1 ounce Carpano Antica sweet vermouth', 'Garnish: orange peel']","Add all ingredients into a mixing glass with ice and stir until well-chilled.
Strain into a rocks glass over one large ice cube.
Garnish with a long, trimmed strip of orange peel.",https://www.liquor.com/kingston-negroni-cocktail-recipe-5222685,Rum Cocktails
Missionary’s Downfall,"['1 ounce white rum', '1/2 ounce creme de peche', '1 large fresh pineapple chunk, large fresh pineapple chunk, about 1/4 cup', '3/4 ounce lime juice, freshly squeezed', '1/2 ounce honey syrup', '8-12 large mint leaves', 'Garnish: mint sprig', 'Garnish: pineapple wedge']","Add all ingredients into a blender with 3/4 cup of ice and blend for about 20 seconds.
Pour into a Collins glass.
Garnish with a mint sprig and a pineapple wedge.
Serve with a straw.",https://www.liquor.com/missionarys-downfall-cocktail-recipe-5220747,Rum Cocktails
Rum Flip,"['1 1/2 ounces dark rum (such as Cruzan single barrel estate)', '1/2 ounce heavy cream', '1 teaspoon granulated sugar', '1 fresh egg (whole)', 'Garnish: grated nutmeg']","Add all ingredients into a shaker and vigorously dry-shake (without ice).
Add ice and shake again until well-chilled.
Strain into a cocktail glass.
Garnish with a light dusting of freshly grated nutmeg.",https://www.liquor.com/rum-flip-cocktail-recipe-5213043,Rum Cocktails
Any Port in a Storm,"['1 1/2 ounces Appleton Estate rum', '1/4 ounce Dr. Bird Jamaican rum', '3/4 ounce Taylor Fladgate 10-year-old tawny port', '1 ounce lime juice, freshly squeezed (save the husks to use as the garnish)', '1 ounce pineapple juice (if using fresh juice, save the rind for tepache)', '3/4 ounce avocado pit orgeat*', '5 dashes Angostura bitters', '1 dash absinthe', 'Garnish: lime husk', 'Garnish: J. Wray & Nephew overproof rum', 'Garnish: maraschino cherry']","Add all ingredients into a shaker with ice and shake until well-chilled.
Pour (unstrained) into a Tiki mug or similar vessel.
Garnish by pouring a small amount of overproof rum into a spent lime husk and place a maraschino cherry inside the husk. Light on fire and serve carefully.",https://www.liquor.com/any-port-in-a-storm-cocktail-recipe-5209424,Rum Cocktails
Grand Slam,"['2 ounces Flor de Caña 7-year-old grand reserve rum', '1 ounce Gosling’s Black Seal rum', '1/2 ounce Pierre Ferrand dry curaçao ancienne methode', '1 ounce lemon juice, freshly squeezed', '1/4 ounce grenadine', 'Garnish: orange twist']","Add all ingredients into a shaker with ice and shake until well-chilled.
Strain into an Old Fashioned glass over crushed ice.
Garnish with an orange twist.",https://www.liquor.com/grand-slam-cocktail-recipe-5203706,Rum Cocktails
Dark & Stoutly,"['1 1/2 ounces El Dorado 15-year-old special reserve rum', '1/2 ounce lime juice, freshly squeezed', '1 1/2 ounces ginger-habanero syrup*', '5 ounces Dupont Monk’s Stout or other stout-style beer, chilled', 'Garnish: lime wedge']","Add the rum, lime juice and syrup into a shaker with ice and shake briefly.
Strain into a pint glass half-filled with fresh ice and top with the beer. Stir briefly and gently to combine.
Garnish with a lime wedge.
*Ginger-habanero syrup: In a medium saucepan, combine 4 cups turbinado sugar, 1 habanero pepper (seeded and chopped), 1 pound fresh ginger (sliced), and 3 cups water. Bring to a simmer over medium heat, stirring until the sugar has dissolved. Remove from heat and allow to cool completely. Strain out and discard solids. Will keep, tightly sealed and refrigerated, for up to 1 week.",https://www.liquor.com/dark-stoutly-cocktail-recipe-5203083,Rum Cocktails
Rum & Coke,"['2 ounces rum', 'Cola, chilled, to top (4-6 ounces, to taste)']",Add all ingredients into a highball glass filled with ice and stir gently and briefly to combine.,https://www.liquor.com/rum-coke-cocktail-recipe-5199586,Rum Cocktails
Reggae Rum Punch,"['2 ounces rum', '2 ounces orange juice', '2 ounces pineapple juice', '1/2 ounce lime juice', '1/2 ounce strawberry syrup', 'mint sprig', 'pineapple slice']","Add the rum, orange juice, pineapple juice, lime juice and strawberry syrup into a shaker with ice and shake until well-chilled.
Strain into a highball glass over fresh ice.
Garnish with a mint sprig and pineapple slice.
*Strawberry syrup: Add 1/2 cup granulated sugar and 1/2 cup water into a small saucepan over medium heat. Stir until the sugar is dissolved. Add 1 cup strawberries into the saucepan and bring to a boil. Boil for 10 minutes. Reduce heat to medium-low and simmer until strawberries are mushy and sauce is thick, about 10 minutes. Let cool, then strain into a glass jar and seal tightly with a lid. Will keep, refrigerated, for about one month.",https://www.liquor.com/recipes/reggae-rum-punch/,N/A
Kingston Negroni,"['1 ounce Smith & Cross Jamaican rum', '1 ounce Campari', '1 ounce Carpano Antica sweet vermouth', 'Garnish: orange peel']","Add all ingredients into a mixing glass with ice and stir until well-chilled.
Strain into a rocks glass over one large ice cube.
Garnish with a long, trimmed strip of orange peel.",https://www.liquor.com/kingston-negroni-cocktail-recipe-5222685,N/A
Across the Pacific,"['1 ounce Appleton Reserve rum', '1/2 ounce Smith & Cross Jamaican rum', '1/2 ounce Averna amaro', '3/4 ounce lime juice, freshly squeezed', '3/4 ounce orgeat', 'Garnish: lime wheel', 'Garnish: grated nutmeg']","Add all ingredients into a shaker with one ice cube and shake until the ice melts and mixture is frothy.
Pour into a rocks glass filled with crushed ice.
Garnish with a lime wheel and grated nutmeg.",https://www.liquor.com/across-the-pacific-cocktail-recipe-5083941,N/A
Undead Gentleman,"['Absinthe blanc, to rinse', '1 1/2 ounces blended aged rum (such as Appleton Estate Reserve or The Real McCoy five-year-old)', '1 ounce black blended overproof rum (such as Hamilton 151)', '1/2 ounce grapefruit juice (white or pink), freshly squeezed', '1/2 ounce lime juice, freshly squeezed', '1/2 ounce John D. Taylor’s Velvet falernum', '1/2 ounce Smuggler’s Cove cinnamon syrup*', '1 dash Angostura bitters', 'Garnish: lime twist', 'Garnish: grapefruit twist']","Rinse a chilled cocktail coupe with absinthe blanc.
Add the blended aged rum, black blended overproof rum, grapefruit juice, lime juice, falernum, cinnamon syrup and bitters into a shaker with cracked or cubed ice and shake until well-chilled.
Double-strain into the prepared glass.
Garnish with intertwined lime and grapefruit twists.
*Smuggler’s Cove cinnamon syrup: Put 2 cups of water in a saucepan. Add 3 halved 6-inch pieces of cinnamon stick to the water, and bring to a boil over high heat. Add 4 cups of granulated sugar and stir with a whisk (or an immersion blender) until dissolved, about 1 minute. The liquid should become clear such that you can see the bottom of the pot. Immediately remove from the heat. Cover and let sit at room temperature for 12 hours. Strain through cheesecloth into a bowl, and then use a funnel to pour into a lidded bottle or other sealable container. The syrup will keep, refrigerated, for several weeks. Makes 4 cups (32 ounces).",https://www.liquor.com/recipes/undead-gentleman/,N/A
High Horse,"['1 1/2 ounces rum', '1/2 ounce brandy', '1/2 ounce cherry liqueur', '1/2 ounce sweet vermouth', '2 dashes bitters', 'brandied cherry']","Add the rum, kirsch, cherry liqueur, sweet vermouth and bitters into a mixing glass with ice and stir until well-chilled.
Strain into a cocktail glass.
Garnish with a brandied cherry on a skewer.",https://www.liquor.com/recipes/high-horse/,N/A
Rum Rangoon,"['2 ounces rum', '1/2 ounce Clément Creole shrubb', '3/4 ounce lime juice', '1/4 ounce sugar cane syrup', '2 dashes bitters', '1 dash bitters', 'orange wedge']","Add the rum, Creole shrubb, lime juice, sugar cane syrup, Angostura bitters and orange bitters into a shaker with ice and shake until well-chilled.
Strain into a chilled cocktail glass.
Garnish with an orange wedge.",https://www.liquor.com/recipes/rum-rangoon/,N/A
One Last Midnight,"['scotch', '2 ounces rum', '1/2 ounce vermouth', '1/2 ounce Punt e Mes', '1 pinch salt']","Spritz the scotch into a rocks glass.
Add the rum, sweet vermouth, Punt y Mes and coffee-infused salt into the glass with one large ice cube, and stir gently to combine.",https://www.liquor.com/one-last-midnight-cocktail-recipe-5070395,N/A
Island Oasis,"['2 ounces aged rum', '2 ounces coconut water', '1 ounce pineapple juice', '1 ounce pineapple shrub']","Add all ingredients into a shaker with ice and shake until well-chilled.
Strain into a double rocks glass over fresh ice.",https://www.liquor.com/island-oasis-cocktail-recipe-5077966,N/A
Angostura Colada,"['1 1/2 ounces Angostura bitters', '1/2 ounce overproof rum (preferably Smith & Cross)', '2 ounces pineapple juice', '1 ounce lime juice, freshly squeezed', '1 1/2 ounces cream of coconut (such as Coco Lopez)', 'Garnish: pineapple fronds', 'Garnish: nutmeg, freshly grated']","Add all ingredients into a shaker with ice and shake until well-chilled.
Strain into a large snifter over crushed ice.
Garnish with freshly grated nutmeg and pineapple fronds.",https://www.liquor.com/angostura-colada-cocktail-recipe-6361371?state=PREVIEW&et=1659125655486&kw=fakeAds,N/A
Daiquiri,"['2 ounces rum', '1 ounce lime juice', '3/4 ounce sugar syrup', 'lime twist']","Add the rum, lime juice and demerara sugar syrup to a shaker with ice, and shake until well-chilled.
Strain into a chilled coupe.
Garnish with a lime twist.
Strawberry Daiquiri: Adds the red fruit and sends it all for a spin in the blender
Hemingway Daiquiri: Swaps in maraschino liqueur for the simple syrup and adds grapefruit juice; serve it over crushed ice
Banana Daiquiri: Adds a touch of banana liqueur for an extra tropical twist
Winter Daiquiri: Takes the flavors darker with the addition of black strap rum
Deadbeat Daiquiri: Comes straight from Tiki expert Jeff ""Beachbum"" Berry and his Latitude 29 bar in New Orleans",https://www.liquor.com/recipes/daiquiri/,N/A
Piña Colada,"['2 ounces rum', '1 1/2 ounces cream of coconut', '1 1/2 ounces pineapple juice', '1/2 ounce lime juice', 'pineapple wedge', 'pineapple leaf']","Add the rum, cream of coconut and pineapple and lime juices to a shaker with ice and shake vigorously for 20 to 30 seconds.
Strain into a chilled Hurricane glass over pebble ice.
Garnish with a pineapple wedge and pineapple leaf.",https://www.liquor.com/recipes/pina-colada/,N/A
Dark ’n Stormy,"['2 ounces rum', '1/2 ounce lime juice', 'Ginger beer 5 ounces', 'lime wheel']","Add rum and lime juice to a tall glass filled with ice.
Top with the ginger beer.
Garnish with a lime wheel.",https://www.liquor.com/recipes/dark-n-stormy/,N/A
Jungle Bird,"['1 1/2 ounces rum', '3/4 ounce Campari', '1 1/2 ounces pineapple juice', '1/2 ounce lime juice', '1/2 ounce demerara syrup', 'pineapple']","Add the rum, Campari, pineapple juice, lime juice, and demerara syrup into a shaker with ice and shake until well-chilled.
Strain into a rocks glass over fresh ice.
Garnish with a pineapple wedge.",https://www.liquor.com/recipes/jungle-bird/,N/A
Mojito,"['3 mint leaves', '1/2 ounce simple syrup', '2 ounces rum', '3/4 ounce lime juice', 'Club soda', 'mint sprig', 'lime wheel']","Lightly muddle the mint with the simple syrup in a shaker.
Add the rum, lime juice and ice, and give it a brief shake, then strain into a highball glass over fresh ice. Alternatively, you can use pebble ice instead and gently swizzle it all together.
Top with the club soda.
Garnish with a mint sprig and lime wheel.
Firmly slap the mint sprig on the back of your hand before garnishing; this releases the oils to make the mint more aromatic.",https://www.liquor.com/recipes/mojito/,N/A
Mai Tai,"['1 1/2 ounces rum', '3/4 ounce orange curaçao', '3/4 ounce lime juice', '1/2 ounce orgeat', '1/2 ounce rum', 'lime wheel', 'mint sprig']","Add the white rum, curaçao, lime juice and orgeat into a shaker with crushed ice and shake lightly (about 3 seconds).
Pour into a double rocks glass.
Float the dark rum over the top.
Garnish with a lime wheel and mint sprig.",https://www.liquor.com/recipes/traditional-mai-tai/,N/A
